Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,ZONA,LOCALIDADE,QTD_SECOES,QTD_APTOS,ENDERECO,BAIRRO,LATITUDE,LONGITUDE
CAPELA DO CALDEIRÃOZINHO,ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 1<br>QTD_APTOS: 235<br>ENDERECO: LOCALIDADE CALDEIRÃOZINHO<br>BAIRRO: ZONA RURAL<br>LATITUDE: -4.7731163<br>LONGITUDE: -42.6937374,,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"1.0","235.0",LOCALIDADE CALDEIRÃOZINHO,ZONA RURAL,"-4.7731163","-42.6937374"
CAPELA DO POVOADO CAIÇARA II ,ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 1<br>QTD_APTOS: 375<br>ENDERECO: POVOADO CAIÇARA II<br>BAIRRO: ZONA RURAL<br>LATITUDE: -4.594058<br>LONGITUDE: -42.5017897,,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"1.0","375.0",POVOADO CAIÇARA II,ZONA RURAL,"-4.594058","-42.5017897"
CENTRO COMUNITÁRIO - SACO DE SÃO MATEUS,ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 1<br>QTD_APTOS: 355<br>ENDERECO: LOCALIDADE SACO DE SÃO MATEUS<br>BAIRRO: ZONA RURAL<br>LATITUDE: -4.8421436<br>LONGITUDE: -42.4610892,,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"1.0","355.0",LOCALIDADE SACO DE SÃO MATEUS,ZONA RURAL,"-4.8421436","-42.4610892"
CENTRO DE TREINAMENTO GOV. FREITAS NETO,ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 3<br>QTD_APTOS: 718<br>ENDERECO: AV. AMERICO CELESTINO S/N<br>BAIRRO: CENTRO<br>LATITUDE: -4.7585001<br>LONGITUDE: -42.5728101,,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"3.0","718.0",AV. AMERICO CELESTINO S/N,CENTRO,"-4.7585001","-42.5728101"
CETI FERDINAND FREITAS,"ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 8<br>QTD_APTOS: 2,363<br>ENDERECO: RUA JOSÉ CANDIDO GAIOSO, 275<br>BAIRRO: CENTRO<br>LATITUDE: -4.7520387<br>LONGITUDE: -42.5783792",,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"8.0","2.363","RUA JOSÉ CANDIDO GAIOSO, 275",CENTRO,"-4.7520387","-42.5783792"
CRECHE ANTONIO GAIOSO,"ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 3<br>QTD_APTOS: 1,111<br>ENDERECO: AV. GOVERNADOR PETRONIO PORTELA S/N<br>BAIRRO: CENTRO<br>LATITUDE: -4.7599511<br>LONGITUDE: -42.5674174",,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"3.0","1.111",AV. GOVERNADOR PETRONIO PORTELA S/N,CENTRO,"-4.7599511","-42.5674174"
CRECHE MÃE BILUCA,ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 2<br>QTD_APTOS: 738<br>ENDERECO: AV. TERESINA S/N<br>BAIRRO: SUCO DE UVA<br>LATITUDE: -4.765105<br>LONGITUDE: -42.5786576,,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"2.0","738.0",AV. TERESINA S/N,SUCO DE UVA,"-4.765105","-42.5786576"
CRECHE MÃE NOÉLIA,ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 3<br>QTD_APTOS: 902<br>ENDERECO: RUA SANTO ESTEVAM S/N<br>BAIRRO: CENTRO<br>LATITUDE: -4.753316<br>LONGITUDE: -42.579775,,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"3.0","902.0",RUA SANTO ESTEVAM S/N,CENTRO,"-4.753316","-42.579775"
ESCOLA MUNICIPAL AGRIPINA PORTELA,"ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 8<br>QTD_APTOS: 2,314<br>ENDERECO: RUA JACOB DE SAMPAIO ALMENDRA<br>BAIRRO: SANTA ROSA<br>LATITUDE: -4.7600154<br>LONGITUDE: -42.5872432",,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"8.0","2.314",RUA JACOB DE SAMPAIO ALMENDRA,SANTA ROSA,"-4.7600154","-42.5872432"
ESCOLA MUNICIPAL AMERICO CELESTINO - SÃO DOMINGOS,ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 1<br>QTD_APTOS: 320<br>ENDERECO: ASSENTAMENTO SÃO DOMINGOS<br>BAIRRO: ZONA RURAL<br>LATITUDE: -4.8347522<br>LONGITUDE: -42.6286945,,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"1.0","320.0",ASSENTAMENTO SÃO DOMINGOS,ZONA RURAL,"-4.8347522","-42.6286945"
ESCOLA MUNICIPAL CARLOTA FREITAS,"ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 5<br>QTD_APTOS: 1,776<br>ENDERECO: RUA JACOB DE FREITAS SN<br>BAIRRO: CENTRO<br>LATITUDE: -4.758463<br>LONGITUDE: -42.5715136",,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"5.0","1.776",RUA JACOB DE FREITAS SN,CENTRO,"-4.758463","-42.5715136"
ESCOLA MUNICIPAL ENGENHEIRO VICENTE BATISTA,ZONA: 24<br>LOCALIDADE: JOSÉ DE FREITAS<br>QTD_SECOES: 3<br>QTD_APTOS: 847<br>ENDERECO: RUA JOAQUIM SAMPAIO CASTELO BRANCO<br>BAIRRO: DEUS ME DEU<br>LATITUDE: -4.7662182<br>LONGITUDE: -42.556419,,,,,-1,0,-1,,,"24.0",JOSÉ DE FREITAS,"3.0","847.0",RUA JOAQUIM SAMPAIO CASTELO BRANCO,DEUS ME DEU,"-4.7662182","-42.556419"
