DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS,NR_LOCAL_VOTACAO,SQ_CANDIDATO,NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO,melhor_urbano
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","30","13",Vereador,"55333",RAIMUNDO FRANCISCO CAMPOS PINTO,"2","1139","180001980307",UNIDADE ESCOLAR GOVERNADOR PEDRO FREITAS - SEGUNDO GRAU,"AV. GOVERNADOR LUCIDIO PORTELA, 346",POINT(-42.5731148 -4.7648787)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","73","13",Vereador,"10124",FRANCISCO DAS CHAGAS SILVA,"1","1236","180002210284",ESCOLA MUNICIPAL JOÃO GAIOSO - LAGOA DO PIRIPIRI,POVOADO LAGOA DO PIRIPIRI,POINT(-42.67075 -4.83575667)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","15","13",Vereador,"10124",FRANCISCO DAS CHAGAS SILVA,"2","1066","180002210284",GINASIO MODERNO ESTADUAL ANTONIO FREITAS,RUA GOVERNADOR PETRONIO PORTELA,POINT(-42.5703141 -4.7645536)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","90","13",Vereador,"11222",FRANCISCO ROCHA DO MONTE,"1","1163","180002241735",ESCOLA MUNICIPAL MONSENHOR DEUSDETH CRAVEIRO DE MELO - CAIC,RUA FILOMENO MELO S/N,POINT(-42.57288421 -4.74561324)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","73","13",Vereador,"11222",FRANCISCO ROCHA DO MONTE,"1","1236","180002241735",ESCOLA MUNICIPAL JOÃO GAIOSO - LAGOA DO PIRIPIRI,POVOADO LAGOA DO PIRIPIRI,POINT(-42.67075 -4.83575667)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","78","13",Vereador,"11222",FRANCISCO ROCHA DO MONTE,"8","1120","180002241735",ESCOLA MUNICIPAL PADRE SAMPAIO,"RUA HUGO NAPOLEAO, 618",POINT(-42.670885 -4.83579833)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","15","13",Vereador,"11222",FRANCISCO ROCHA DO MONTE,"3","1066","180002241735",GINASIO MODERNO ESTADUAL ANTONIO FREITAS,RUA GOVERNADOR PETRONIO PORTELA,POINT(-42.5703141 -4.7645536)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","90","13",Vereador,"15777",MARIA DO LIVRAMENTO ALVES DE SOUSA NUNES,"1","1163","180001952342",ESCOLA MUNICIPAL MONSENHOR DEUSDETH CRAVEIRO DE MELO - CAIC,RUA FILOMENO MELO S/N,POINT(-42.57288421 -4.74561324)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","15","13",Vereador,"15777",MARIA DO LIVRAMENTO ALVES DE SOUSA NUNES,"1","1066","180001952342",GINASIO MODERNO ESTADUAL ANTONIO FREITAS,RUA GOVERNADOR PETRONIO PORTELA,POINT(-42.5703141 -4.7645536)
28/10/2024,11:46:22,"2024","2",Eleição Ordinária,verdadeiro,"619",Eleições Municipais 2024,"06/10/2024",M,PI,"11096",JOSÉ DE FREITAS,"11096",JOSÉ DE FREITAS,"24","74","13",Vereador,"15000",LUCIA MARIA OLIVEIRA RIBEIRO,"12","1619","180001952336",ESCOLA MUNICIPAL CARLOTA FREITAS,RUA JACOB DE FREITAS SN,POINT(-42.57146015 -4.75821141)
